modelo,familia,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1
Random Forest,ML clásico + geometría,0.9856209150326798,0.9863642850484956,0.9855927355927356,0.9855336171766611,0.9855104822734516
Random Forest,ML clásico + geometría,0.9856209150326798,0.9863642850484956,0.9855927355927356,0.9855336171766611,0.9855104822734516
GCN PyTorch Geometric,GCN,0.9830065359477124,0.9836005757058388,0.983018733018733,0.9829336744608392,0.9829737520225685
GAT Mejorada,GCN,0.9803921568627451,0.9808873361504941,0.9804447304447305,0.9803658583727203,0.9803475600388966
GAT Mejorada,GCN,0.9803921568627451,0.9808873361504941,0.9804447304447305,0.9803658583727203,0.9803475600388966
HandGAT Robusto (Augment),GCN,0.9738562091503268,0.9743268172060741,0.9738309738309738,0.9737626434720494,0.9737886369701696
SVM RBF,ML clásico + geometría,0.9673202614379085,0.9689817873111473,0.9672887172887172,0.9672808535603171,0.967345423447331
SVM RBF,ML clásico + geometría,0.9673202614379085,0.9689817873111473,0.9672887172887172,0.9672808535603171,0.967345423447331
MLP + geometría,Red neuronal + geometría,0.9594771241830066,0.960652094707822,0.9593879593879593,0.9590475197567746,0.9591059534874067
KNN,ML clásico + geometría,0.9437908496732026,0.9446355423305509,0.9438724438724441,0.9433871152775379,0.9433693305902073
KNN,ML clásico + geometría,0.9437908496732026,0.9446355423305509,0.9438724438724441,0.9433871152775379,0.9433693305902073
